Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - São Paulo
HipertensãoDiabetes Tipo 1Diabetes Tipo 2Hiper c/ Diabete por Macrorreg de Saúde/Município
Período:Jan/2002-Abr/2013
"Macrorreg de Saúde/Município";"Hipertensão";"Diabetes_Tipo_1";"Diabetes_Tipo_2";"Hiper_c/_Diabete"
"3518 RRAS9";78401;1366;4160;31202
".....  CABRALIA PAULISTA";406;1;4;221
".....  AGUDOS";2982;43;160;1036
".....  CONCHAS";566;9;23;240
".....  CERQUEIRA CESAR";1393;25;68;688
".....  PRESIDENTE ALVES";292;2;8;75
".....  BARRA BONITA";2207;61;221;1072
".....  BARIRI";2223;47;63;631
".....  ITATINGA";767;35;71;384
".....  CAFELANDIA";454;9;21;133
".....  MINEIROS DO TIETE";1584;43;90;484
".....  BOFETE";982;14;64;379
".....  LENCOIS PAULISTA";1587;27;120;748
".....  FARTURA";1321;14;21;217
".....  REGINOPOLIS";905;12;62;195
".....  PROMISSAO";1419;63;120;814
".....  DUARTINA";1224;12;15;400
".....  BROTAS";1692;38;26;571
".....  BOCAINA";371;2;18;95
".....  BALBINOS";102;1;1;19
".....  TORRE DE PEDRA";114;5;9;52
".....  ITAPORANGA";566;2;21;142
".....  ITAPUI";493;9;34;109
".....  SAO MANUEL";777;45;164;899
".....  GUAICARA";925;3;37;315
".....  LINS";4518;97;154;1568
".....  MACATUBA";1732;22;76;684
".....  TAGUAI";566;1;12;107
".....  TAQUARITUBA";1176;29;41;422
".....  TORRINHA";834;9;51;249
".....  BORACEIA";110;2;6;44
".....  AVAI";262;2;22;80
".....  ANHEMBI";79;1;3;45
".....  PIRAJUI";502;9;10;249
".....  PIRATININGA";1325;13;115;479
".....  PEREIRAS";735;20;59;236
".....  PORANGABA";545;7;41;260
".....  PEDERNEIRAS";1582;3;22;495
".....  BAURU";12419;169;785;5390
".....  PAULISTANIA";223;2;17;64
".....  SABINO";425;22;15;256
".....  GETULINA";452;15;22;122
".....  PARDINHO";308;3;37;152
".....  AREIOPOLIS";762;27;76;314
".....  MANDURI";1064;16;41;441
".....  PONGAI";690;10;33;139
".....  PARANAPANEMA";678;22;60;443
".....  AVARE";408;9;26;198
".....  AGUAS DE SANTA BARBARA";2;-;6;45
".....  LARANJAL PAULISTA";352;2;13;331
".....  PIRAJU";1343;9;22;463
".....  JAU";10468;222;508;5097
".....  BOREBI";286;11;32;98
".....  ITAJU";150;11;16;90
".....  IGARACU DO TIETE";2355;32;74;570
".....  DOIS CORREGOS";1655;24;96;584
".....  CORONEL MACEDO";929;5;42;274
".....  ARANDU";1012;5;39;225
".....  AREALVA";583;7;49;210
".....  URU";45;1;2;24
".....  ITAI";2474;5;96;835
"3519 RRAS8";105093;1609;5796;41992
".....  PORTO FELIZ";2604;66;193;1237
".....  ALAMBARI";214;7;13;91
".....  RIVERSUL";136;3;4;23
".....  RIBEIRA";456;3;7;78
".....  PILAR DO SUL";1804;55;120;1159
".....  RIBEIRAO BRANCO";601;4;14;169
".....  RIBEIRAO GRANDE";650;4;13;176
".....  QUADRA";272;6;15;62
".....  VOTORANTIM";7229;49;332;2338
".....  ITAPEVA";2965;24;83;889
".....  TATUI";8166;162;708;4232
".....  TIETE";682;6;27;474
".....  GUAREI";961;18;47;258
".....  ANGATUBA";4398;54;151;1014
".....  ARACARIGUAMA";1021;18;43;666
".....  SARAPUI";239;4;7;131
".....  BOITUVA";3314;23;153;937
".....  CERQUILHO";1253;4;52;380
".....  CAMPINA DO MONTE ALEGRE";161;-;8;36
".....  BURI";732;11;33;204
".....  ARACOIABA DA SERRA";293;3;31;171
".....  SOROCABA";20848;225;1323;8072
".....  ALUMINIO";1432;27;110;678
".....  ITAOCA";511;6;17;125
".....  SALTO";5487;214;425;3073
".....  NOVA CAMPINA";766;6;18;167
".....  CESARIO LANGE";1404;43;94;625
".....  IBIUNA";382;13;43;288
".....  ITARARE";41;-;5;14
".....  GUAPIARA";848;1;20;188
".....  MAIRINQUE";5814;71;304;2107
".....  JUMIRIM";220;5;11;61
".....  CAPAO BONITO";834;13;17;322
".....  ITU";6246;114;230;2689
".....  SALTO DE PIRAPORA";3592;61;153;1355
".....  PIEDADE";1531;31;70;810
".....  TAQUARIVAI";288;2;10;69
".....  SAO ROQUE";5793;98;426;2460
".....  APIAI";3634;18;108;912
".....  IPERO";1667;35;119;509
".....  ITAPETININGA";3656;84;197;1982
".....  ITAPIRAPUA PAULISTA";303;1;6;90
