Cod_Municipio,Municipio,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp__compl_federal,Val_serv_hosp__compl_gestor,Valor_serviços_profissionais,Val_serv_prof__compl_federal,Val_serv_prof__compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
350010, Adamantina,53525,66013,59498944.74,50889600.19,100173.49,,8444054.91,,,901.32,1111.61,796384,14.9,2869,5.36
350030, Aguaí,10815,10815,4672764.57,3684259.52,,,988505.05,,,432.06,432.06,32000,3,422,3.9
350050, Águas de Lindóia,18274,18274,7400698.05,5873840.98,,,1526857.07,,,404.99,404.99,50469,2.8,910,4.98
350070, Agudos,20877,20877,9249894.05,6593879.4,,,2656014.65,,,443.07,443.07,59433,2.8,378,1.81
350100, Altinópolis,12411,12413,4416589.69,3606572.56,,,810017.13,,,355.8,355.86,52842,4.3,380,3.06
350110, Alto Alegre,1237,1237,469347.56,385309.1,,,84038.46,,,379.42,379.42,4544,3.7,37,2.99
350130, Álvares Machado,6460,6460,3258471.71,2495562.79,,,762908.92,,,504.41,504.41,23598,3.7,214,3.31
350160, Americana,90794,107581,95148589.19,78697526.29,130712.92,,16240918.95,,,884.44,1047.96,1059820,11.7,5139,5.66
350170, Américo Brasiliense,65627,72913,61475293.41,46834423.32,,,14640870.09,,,843.13,936.74,467675,7.1,2218,3.38
350190, Amparo,59366,83339,76010074.66,64907482.92,72382.55,,10993170.99,,,912.06,1280.36,1012916,17.1,3045,5.13
350210, Andradina,52118,52118,31294677.03,25666454.67,8491.22,,5611988.21,,,600.46,600.46,190752,3.7,3130,6.01
350220, Angatuba,26069,26069,11289434.94,8927238.85,,,2362196.09,,,433.06,433.06,82418,3.2,735,2.82
350250, Aparecida,44038,44038,31593623.34,23891189.4,565030.53,,6776648.91,,,717.42,717.42,143988,3.3,1801,4.09
350260, Aparecida d'Oeste,3706,3706,1022927.8,876211.66,,,146716.14,,,276.02,276.02,8851,2.4,38,1.03
350270, Apiaí,25650,25650,12321088.38,9149385.35,,,3171703.03,,,480.35,480.35,78659,3.1,930,3.63
350280, Araçatuba,170470,192605,351036240,290643037.7,199549.29,,60119701.08,,,1822.57,2059.23,1574000,9.2,13431,7.88
350310, Arandu,374,374,150019.16,129300.86,,,20718.3,,,401.12,401.12,1542,4.1,12,3.21
350320, Araraquara,128894,133530,210613594.9,171595040.9,459360.91,,38324116.22,,,1577.28,1634.01,839225,6.5,7448,5.78
350330, Araras,73802,117421,167945573,141970802.6,191568.13,,25641949.18,,,1430.29,2275.62,1653873,22.4,4241,5.75
350340, Arealva,1874,1874,557706.22,463237.67,,,94468.55,,,297.6,297.6,7072,3.8,119,6.35
350370, Ariranha,1146,1146,486384.69,362240.02,,,124144.67,,,424.42,424.42,3283,2.9,59,5.15
350390, Arujá,11141,11141,6229378.78,4221845.05,,,2007533.73,,,559.14,559.14,33305,3,274,2.46
350400, Assis,112328,112328,111384857.2,87469619.87,92850.12,,23773650.05,,,991.6,991.6,527660,4.7,5182,4.61
350410, Atibaia,41584,41584,18961763.27,13677763.18,,,5284000.09,,,455.99,455.99,151136,3.6,2257,5.43
350420, Auriflama,16999,16999,7110000.36,5369575.76,6957.87,,1729963.95,,,418.26,418.26,46555,2.7,507,2.98
350450, Avaré,89841,89841,77186455.17,60389478.02,18344.73,,16757270.43,,,859.15,859.15,333161,3.7,3243,3.61
350490, Bananal,1539,1539,624404.56,497156.3,,,127248.26,,,405.72,405.72,6479,4.2,96,6.24
350520, Bariri,23524,23524,10040965.54,7939572.7,,,2101392.84,,,426.84,426.84,64850,2.8,1346,5.72
350530, Barra Bonita,31008,31008,13773285.03,11274891.56,3075.33,,2490072.46,,,444.18,444.18,106499,3.4,1724,5.56
350550, Barretos,317700,324340,573176293,465801679.8,393810.3,,106800468.6,,,1767.21,1804.14,1656786,5.2,24811,7.81
350570, Barueri,307435,307435,207114243.3,161251855.2,238724.4,,45456143.21,,,673.68,673.68,1258692,4.1,8744,2.84
350580, Bastos,19178,19178,6464813.11,5236049.87,,,1228763.24,,,337.1,337.1,46824,2.4,251,1.31
350590, Batatais,51058,52445,41300102.81,33779365.38,163769.25,,7264558.93,,,787.49,808.89,206916,4.1,2416,4.73
350600, Bauru,391548,391777,562076616.2,451733845.8,74668.01,,110182901.3,,,1434.69,1435.52,2034462,5.2,17291,4.42
350610, Bebedouro,49787,49787,24675278.61,18386974.09,218449.18,,5947104.64,,,495.62,495.62,153885,3.1,2751,5.53
350630, Bernardino de Campos,8303,8303,3069191.99,2519886.22,,,549305.77,,,369.65,369.65,26484,3.2,530,6.38
350635, Bertioga,35039,35039,15399485.98,10928512.63,,,4470973.35,,,439.5,439.5,137484,3.9,1214,3.46
350640, Bilac,2722,2722,856287.69,713920.47,,,142367.22,,,314.58,314.58,5426,2,52,1.91
350650, Birigui,60721,67639,40993078.57,32992112.23,16174.58,,7975878.56,,,606.06,675.11,419859,6.9,3016,4.97
350660, Biritiba-Mirim,269,269,105648.18,92860,,,12788.18,,,392.74,392.74,1217,4.5,27,10.04
350670, Boa Esperança do Sul,4352,4352,1808286.62,1269202.55,,,539084.07,,,415.51,415.51,10310,2.4,83,1.91
350680, Bocaina,2802,2802,1251974.62,1003412.35,,,248562.27,,,446.81,446.81,8586,3.1,101,3.6
350700, Boituva,25982,25982,12071910.41,8690098.3,10972.08,,3365101.74,,,464.63,464.63,73711,2.8,984,3.79
350710, Bom Jesus dos Perdões,1852,1852,799845.49,701770.82,,,98074.67,,,431.88,431.88,10602,5.7,102,5.51
350740, Borborema,9906,9906,3811242.28,3005306.51,20972.25,,773644.81,,,384.74,384.74,29271,3,356,3.59
350750, Botucatu,277173,285000,583947451.9,479115650.5,425110.64,,104227325.3,,,2048.94,2106.8,1837961,6.6,12773,4.61
350760, Bragança Paulista,154088,154088,212621205.3,170826392,833838.77,,40591461.21,,66712.14,1379.87,1379.87,657168,4.3,10295,6.68
350790, Brotas,9970,9970,4739449.31,3606461.51,,,1132987.8,,,475.37,475.37,34951,3.5,388,3.89
350800, Buri,1511,1511,690241.96,502133.98,,,188107.98,,,456.81,456.81,5360,3.5,37,2.45
350810, Buritama,11284,11284,4846193.32,3837612.8,2239.46,,1004488.95,,,429.47,429.47,28108,2.5,305,2.7
350840, Cabreúva,6208,6208,2821498.02,1996481.89,,,825016.13,,,454.49,454.49,16990,2.7,133,2.14
350850, Caçapava,37278,37278,29355998.57,23257918,10443.51,,6079688.04,,,787.49,787.49,135505,3.6,2367,6.35
350860, Cachoeira Paulista,11191,11191,4894722.58,3096921.28,7447.24,,1773937.66,,,437.38,437.38,32919,2.9,461,4.12
350870, Caconde,11265,16682,15857562.92,13777608.02,149423.94,,1828244.97,,,950.58,1407.68,196186,17.4,471,4.18
350880, Cafelândia,13248,13248,5697978.89,4528661.09,,,1169317.8,,,430.1,430.1,36924,2.8,340,2.57
350900, Caieiras,23412,23412,11834412.2,7611545.5,,,4222866.7,,,505.48,505.48,83968,3.6,802,3.43
350920, Cajamar,21074,21074,8430214.07,5828553.68,,,2601660.39,,,400.03,400.03,65343,3.1,1128,5.35
350925, Cajati,3132,3132,1180232.48,1027053.29,,,153179.19,,,376.83,376.83,11203,3.6,186,5.94
350930, Cajobi,9164,9164,3479939.54,2777534.85,,,702404.69,,,379.74,379.74,21412,2.3,64,0.7
350940, Cajuru,29790,29790,11985767.77,9234907.35,99270.14,,2602562.51,,,402.34,402.34,112308,3.8,873,2.93
350950, Campinas,921318,928001,1574879813,1271182720,1753246.87,,300863604.2,,,1697.07,1709.38,5404377,5.9,41399,4.49
350960, Campo Limpo Paulista,27961,27961,12688518.1,9089316.02,22538.01,,3559839.4,,,453.79,453.79,81299,2.9,1173,4.2
350970, Campos do Jordão,32467,45966,47654982.12,34542323.45,,,13112658.67,,,1036.74,1467.8,526059,16.2,1334,4.11
351000, Cândido Mota,16737,16737,7385797.92,5799542.16,,,1586255.76,,,441.29,441.29,59286,3.5,756,4.52
351020, Capão Bonito,34939,34939,16466780.86,11974677.08,77486.09,,4366647.13,,,471.3,471.3,93947,2.7,1665,4.77
351040, Capivari,35889,35889,18894565.56,14301027.92,8001.21,,4580157.67,,,526.47,526.47,114755,3.2,1771,4.93
351050, Caraguatatuba,91980,91980,76240648.97,59608187.99,694271.77,,15524626.84,,,828.88,828.88,372386,4,4091,4.45
351060, Carapicuíba,205662,205662,174892281.4,129667920.2,1338333.74,,42640386.79,,,850.39,850.39,796444,3.9,6328,3.08
351070, Cardoso,9730,9730,3288254.89,2726014.43,9704.38,,547282.49,,,337.95,337.95,25364,2.6,165,1.7
351080, Casa Branca,20758,57560,48042039.51,41446029.79,18284.56,,6548728.73,,,834.64,2314.39,1206867,58.1,1032,4.97
351100, Castilho,6171,6171,2096898.57,1828323.82,,,268574.75,,,339.8,339.8,19309,3.1,255,4.13
351110, Catanduva,179530,187146,314139678.7,258803081.3,497047.53,,54578388.43,,,1678.58,1749.79,1492370,8.3,13236,7.37
351140, Cerqueira César,20049,20049,7466298.09,5994742.91,,,1471555.18,,,372.4,372.4,58082,2.9,657,3.28
