Cod_Municipio,Municipio,Obitos_p/Residenc,Obitos_p/Ocorrenc
350010, Adamantina,1496,1911
350020, Adolfo,193,76
350030, Aguaí,1600,1010
350040, Águas da Prata,348,107
350050, Águas de Lindóia,835,857
350055, Águas de Santa Bárbara,255,123
350060, Águas de São Pedro,150,74
350070, Agudos,1571,889
350075, Alambari,199,77
350080, Alfredo Marcondes,174,37
350090, Altair,137,59
350100, Altinópolis,678,396
350110, Alto Alegre,171,95
350115, Alumínio,650,343
350120, Álvares Florence,167,59
350130, Álvares Machado,973,325
350140, Álvaro de Carvalho,213,53
350150, Alvinlândia,143,30
350160, Americana,8111,8806
350170, Américo Brasiliense,1239,1778
350180, Américo de Campos,285,109
350190, Amparo,2831,2982
350200, Analândia,170,86
350210, Andradina,2791,2769
350220, Angatuba,952,883
350230, Anhembi,243,147
350240, Anhumas,158,23
350250, Aparecida,1751,1975
350260, Aparecida d'Oeste,255,135
350270, Apiaí,1033,993
350275, Araçariguama,635,468
350280, Araçatuba,8855,12626
350290, Araçoiaba da Serra,1278,706
350300, Aramina,226,73
350310, Arandu,270,194
350315, Arapeí,109,57
350320, Araraquara,9168,10770
350330, Araras,5211,5757
350335, Arco-Íris,84,31
350340, Arealva,368,225
350350, Areias,177,92
350360, Areiópolis,444,171
350370, Ariranha,415,155
350380, Artur Nogueira,1629,918
350390, Arujá,3110,2163
350395, Aspásia,74,28
350400, Assis,4413,5682
350410, Atibaia,5700,5273
350420, Auriflama,610,454
350430, Avaí,214,70
350440, Avanhandava,478,164
350450, Avaré,3788,3997
350460, Bady Bassitt,605,184
350470, Balbinos,116,40
350480, Bálsamo,376,138
350490, Bananal,449,240
350500, Barão de Antonina,139,41
350510, Barbosa,324,97
350520, Bariri,1415,1132
350530, Barra Bonita,1653,1631
350535, Barra do Chapéu,172,89
350540, Barra do Turvo,394,325
350550, Barretos,6309,19325
350560, Barrinha,1102,458
350570, Barueri,11781,10287
350580, Bastos,848,423
350590, Batatais,2350,2115
350600, Bauru,14626,19071
350610, Bebedouro,3316,3364
350620, Bento de Abreu,93,23
350630, Bernardino de Campos,577,481
350635, Bertioga,1986,2011
350640, Bilac,322,237
350650, Birigui,4121,3305
350660, Biritiba-Mirim,1193,524
350670, Boa Esperança do Sul,616,345
350680, Bocaina,481,239
350690, Bofete,415,235
350700, Boituva,1938,1417
350710, Bom Jesus dos Perdões,794,435
350715, Bom Sucesso de Itararé,147,58
350720, Borá,28,4
350730, Boracéia,180,48
350740, Borborema,653,437
350745, Borebi,86,25
350750, Botucatu,5181,10108
350760, Bragança Paulista,6703,9379
350770, Braúna,176,57
350775, Brejo Alegre,131,52
350780, Brodowski,861,360
350790, Brotas,901,594
350800, Buri,853,519
350810, Buritama,812,603
350820, Buritizal,148,48
350830, Cabrália Paulista,197,43
350840, Cabreúva,1527,866
350850, Caçapava,3438,2818
350860, Cachoeira Paulista,1407,859
350870, Caconde,831,621
350880, Cafelândia,863,596
350890, Caiabu,152,32
350900, Caieiras,3318,2198
350910, Caiuá,215,67
350920, Cajamar,2573,1837
350925, Cajati,1131,711
350930, Cajobi,382,164
350940, Cajuru,953,734
350945, Campina do Monte Alegre,264,76
350950, Campinas,39813,53477
350960, Campo Limpo Paulista,3195,1791
350970, Campos do Jordão,2493,2584
350980, Campos Novos Paulista,223,81
350990, Cananéia,556,247
350995, Canas,195,61
351000, Cândido Mota,1409,972
351010, Cândido Rodrigues,94,25
351015, Canitar,218,56
351020, Capão Bonito,2245,1985
351030, Capela do Alto,725,386
351040, Capivari,2063,2094
351050, Caraguatatuba,4874,4496
351060, Carapicuíba,13514,9300
351070, Cardoso,682,392
351080, Casa Branca,1475,1219
351090, Cássia dos Coqueiros,108,57
351100, Castilho,769,444
351110, Catanduva,5765,9856
351120, Catiguá,349,86
351130, Cedral,345,117
351140, Cerqueira César,850,966
351150, Cerquilho,1433,904
351160, Cesário Lange,699,524
351170, Charqueada,611,363
355720, Chavantes,659,468
351190, Clementina,249,140
351200, Colina,828,317
351210, Colômbia,324,148
351220, Conchal,1012,598
351230, Conchas,808,555
351240, Cordeirópolis,750,313
351250, Coroados,212,71
351260, Coronel Macedo,261,97
351270, Corumbataí,135,61
351280, Cosmópolis,2271,1503
351290, Cosmorama,395,162
351300, Cotia,8221,10399
351310, Cravinhos,1289,528
351320, Cristais Paulista,276,112
351330, Cruzália,124,39
351340, Cruzeiro,3723,3819
351350, Cubatão,5139,4114
351360, Cunha,940,698
351370, Descalvado,1312,909
351380, Diadema,15674,12622
351385, Dirce Reis,78,21
351390, Divinolândia,637,531
351400, Dobrada,265,54
351410, Dois Córregos,1159,822
351420, Dolcinópolis,107,30
351430, Dourado,391,218
351440, Dracena,2072,2722
351450, Duartina,574,537
351460, Dumont,303,110
351470, Echaporã,255,118
351480, Eldorado,592,296
351490, Elias Fausto,652,293
351492, Elisiário,130,27
351495, Embaúba,108,30
351500, Embu das Artes,9773,4710
351510, Embu-Guaçu,3144,1717
351512, Emilianópolis,105,22
351515, Engenheiro Coelho,493,206
351518, Espírito Santo do Pinhal,2142,1854
351519, Espírito Santo do Turvo,196,77
355730, Estiva Gerbi,450,148
351520, Estrela d'Oeste,339,156
351530, Estrela do Norte,105,35
351535, Euclides da Cunha Paulista,460,126
351540, Fartura,727,553
351560, Fernando Prestes,273,87
351550, Fernandópolis,3022,3809
351565, Fernão,79,22
351570, Ferraz de Vasconcelos,6740,6273
351580, Flora Rica,100,30
351590, Floreal,143,47
351600, Flórida Paulista,534,298
351610, Florínia,152,68
351620, Franca,12830,14361
351630, Francisco Morato,6118,5014
351640, Franco da Rocha,5783,5776
351650, Gabriel Monteiro,97,18
351660, Gália,353,229
351670, Garça,2167,1761
351680, Gastão Vidigal,151,49
351685, Gavião Peixoto,158,90
351690, General Salgado,536,309
351700, Getulina,497,274
351710, Glicério,188,50
351720, Guaiçara,496,83
351730, Guaimbê,304,132
351740, Guaíra,1848,927
351750, Guapiaçu,675,235
351760, Guapiara,806,549
351770, Guará,878,501
351780, Guaraçaí,355,185
351790, Guaraci,461,162
351800, Guarani d'Oeste,107,28
351810, Guarantã,311,138
351820, Guararapes,1376,874
351830, Guararema,1120,773
351840, Guaratinguetá,5873,7802
351850, Guareí,467,233
351860, Guariba,1395,975
351870, Guarujá,13509,12012
351880, Guarulhos,50379,42643
351885, Guatapará,287,124
351890, Guzolândia,217,69
351900, Herculândia,367,205
351905, Holambra,336,166
351907, Hortolândia,7114,4484
351910, Iacanga,435,260
351920, Iacri,276,137
351925, Iaras,292,102
351930, Ibaté,1235,702
351940, Ibirá,462,214
351950, Ibirarema,323,118
351960, Ibitinga,2409,2177
351970, Ibiúna,3464,2608
351980, Icém,371,149
351990, Iepê,313,199
352000, Igaraçu do Tietê,1177,270
352010, Igarapava,1203,843
352020, Igaratá,433,193
352030, Iguape,1400,813
352042, Ilha Comprida,601,418
352044, Ilha Solteira,1061,1350
352040, Ilhabela,906,739
352050, Indaiatuba,6980,6307
352060, Indiana,238,60
352070, Indiaporã,214,117
352080, Inúbia Paulista,150,41
352090, Ipaussu,679,446
352100, Iperó,1027,547
352110, Ipeúna,234,124
352115, Ipiguá,202,71
352120, Iporanga,169,88
352130, Ipuã,592,325
352140, Iracemápolis,676,258
352150, Irapuã,326,118
352160, Irapuru,367,97
352170, Itaberá,747,479
352180, Itaí,1177,945
352190, Itajobi,670,305
352200, Itaju,139,26
352210, Itanhaém,5084,4615
352215, Itaóca,157,88
352220, Itapecerica da Serra,6544,8246
352230, Itapetininga,6426,6828
352240, Itapeva,4017,5315
352250, Itapevi,8123,6718
352260, Itapira,3627,3510
352265, Itapirapuã Paulista,142,60
352270, Itápolis,1914,1579
352280, Itaporanga,761,756
352290, Itapuí,579,335
352300, Itapura,205,56
352310, Itaquaquecetuba,12486,10100
352320, Itararé,2125,1840
352330, Itariri,572,335
352340, Itatiba,3901,3457
352350, Itatinga,692,378
352360, Itirapina,589,420
352370, Itirapuã,253,88
352380, Itobi,357,68
352390, Itu,6553,6157
352400, Itupeva,1408,870
352410, Ituverava,1996,2590
352420, Jaborandi,310,112
352430, Jaboticabal,3176,2617
352440, Jacareí,9212,9596
352450, Jaci,239,167
352460, Jacupiranga,694,327
352470, Jaguariúna,1568,1280
352480, Jales,2156,3511
352490, Jambeiro,175,94
352500, Jandira,3645,1627
352510, Jardinópolis,1603,801
352520, Jarinu,1116,681
352530, Jaú,6036,13412
352540, Jeriquara,146,44
352550, Joanópolis,530,366
352560, João Ramalho,186,56
352570, José Bonifácio,1342,819
352580, Júlio Mesquita,224,68
352585, Jumirim,75,36
352590, Jundiaí,14605,20904
352600, Junqueirópolis,914,756
352610, Juquiá,967,535
352620, Juquitiba,1319,820
352630, Lagoinha,251,133
352640, Laranjal Paulista,1132,828
352650, Lavínia,330,75
352660, Lavrinhas,276,99
352670, Leme,4157,3698
