NIVNOME;TERCODIGO;TERNOME;TERNOMEPADRAO;TERCAPITAL;TERAREA;NIVAMC
Brasil;0;Brasil;BRASIL;False;8531507.6;False
Regiões;1;Região Norte;REGIAO NORTE;False;3869637.9;False
Estados;11;Rondônia;RONDONIA;False;238512.80000000005;False
Municípios;1100015;Alta Floresta D'Oeste;ALTA FLORESTA D'OESTE;False;7111.8;False
Municípios;1100023;Ariquemes;ARIQUEMES;False;4995.3;False
Municípios;1100031;Cabixi;CABIXI;False;1530.7;False
Municípios;1100049;Cacoal;CACOAL;False;3808.4;False
Municípios;1100056;Cerejeiras;CEREJEIRAS;False;2645.0;False
Municípios;1100064;Colorado do Oeste;COLORADO DO OESTE;False;1442.4;False
Municípios;1100072;Corumbiara;CORUMBIARA;False;3079.7;False
Municípios;1100080;Costa Marques;COSTA MARQUES;False;5140.6;False
AMC 91-00;110009;Espigão D'Oeste;ESPIGAO D'OESTE;False;4523.8;True
Municípios;1100098;Espigão D'Oeste;ESPIGAO D'OESTE;False;4523.8;False
Microrregiões;11001;Porto Velho;PORTO VELHO;False;65905.9;False
AMC 91-00;110010;Guajará-Mirim;GUAJARA-MIRIM;False;25214.0;True
Municípios;1100106;Guajará-Mirim;GUAJARA-MIRIM;False;25214.0;False
Municípios;1100114;Jaru;JARU;False;2909.6;False
AMC 91-00;110012;Ji-Paraná;JI-PARANA;False;6922.5;True
Municípios;1100122;Ji-Paraná;JI-PARANA;False;6922.5;False
Municípios;1100130;Machadinho D'Oeste;MACHADINHO D'OESTE;False;8556.1;False
AMC 91-00;110014;Nova Brasilândia D'Oeste;NOVA BRASILANDIA D'OESTE;False;1159.9;True
Municípios;1100148;Nova Brasilândia D'Oeste;NOVA BRASILANDIA D'OESTE;False;1159.9;False
Municípios;1100155;Ouro Preto do Oeste;OURO PRETO DO OESTE;False;1978.2;False
Municípios;1100189;Pimenta Bueno;PIMENTA BUENO;False;6258.0;False
Microrregiões;11002;Guajará-Mirim;GUAJARA-MIRIM;False;41315.6;False
Municípios;1100205;Porto Velho;PORTO VELHO;True;34209.5;False
AMC 91-00;110025;Presidente Médici;PRESIDENTE MEDICI;False;1693.4;True
Municípios;1100254;Presidente Médici;PRESIDENTE MEDICI;False;1693.4;False
Municípios;1100262;Rio Crespo;RIO CRESPO;False;1729.9;False
Municípios;1100288;Rolim de Moura;ROLIM DE MOURA;False;1487.3;False
AMC 91-00;110029;Santa Luzia D'Oeste;SANTA LUZIA D'OESTE;False;1187.7;True
Municípios;1100296;Santa Luzia D'Oeste;SANTA LUZIA D'OESTE;False;1187.7;False
Microrregiões;11003;Ariquemes;ARIQUEMES;False;24500.100000000002;False
Municípios;1100304;Vilhena;VILHENA;False;11411.2;False
Municípios;1100320;São Miguel do Guaporé;SAO MIGUEL DO GUAPORE;False;7814.9;False
AMC 91-00;110033;Nova Mamoré;NOVA MAMORE;False;10113.4;True
Municípios;1100338;Nova Mamoré;NOVA MAMORE;False;10113.4;False
Municípios;1100346;Alvorada D'Oeste;ALVORADA D'OESTE;False;2982.2;False
Municípios;1100379;Alto Alegre dos Parecis;ALTO ALEGRE DOS PARECIS;False;3952.7;False
Microrregiões;11004;Ji-Paraná;JI-PARANA;False;25124.800000000003;False
Municípios;1100403;Alto Paraíso;ALTO PARAISO;False;2658.7;False
Municípios;1100452;Buritis;BURITIS;False;3286.6;False
Microrregiões;11005;Alvorada D'Oeste;ALVORADA D'OESTE;False;15617.6;False
Municípios;1100502;Novo Horizonte do Oeste;NOVO HORIZONTE DO OESTE;False;833.5;False
Microrregiões;11006;Cacoal;CACOAL;False;24681.7;False
Municípios;1100601;Cacaulândia;CACAULANDIA;False;2010.4;False
Microrregiões;11007;Vilhena;VILHENA;False;26540.4;False
Municípios;1100700;Campo Novo de Rondônia;CAMPO NOVO DE RONDONIA;False;3455.9;False
Microrregiões;11008;Colorado do Oeste;COLORADO DO OESTE;False;14826.699999999999;False
Municípios;1100809;Candeias do Jamari;CANDEIAS DO JAMARI;False;6867.6;False
Municípios;1100908;Castanheiras;CASTANHEIRAS;False;901.2;False
Municípios;1100924;Chupinguaia;CHUPINGUAIA;False;5150.7;False
Municípios;1100940;Cujubim;CUJUBIM;False;4034.9;False
Mesorregiões;1101;Madeira-Guaporé;MADEIRA-GUAPORE;False;107221.5;False
Municípios;1101005;Governador Jorge Teixeira;GOVERNADOR JORGE TEIXEIRA;False;5091.6;False
Municípios;1101104;Itapuã do Oeste;ITAPUA DO OESTE;False;3938.0;False
